Date,Feedback,tokens,Normalized_Feedback,Punctuation_Removal,Remove_stop_words,Lematization,Clean_data,Label,Numeric_Label,Compound_Score
02-Aug-24,really crazy,"['It', 'is', 'really', 'crazy']","['it', 'is', 'really', 'crazy']",it is really crazy,really crazy,really crazy,really crazy,Negative,1,-0.4005
02-Aug-24,bill grow like iselco,"['The', 'bill', 'is', 'growing', 'again', 'with', 'what', 'you', 'are', 'doing', 'like', 'this', 'Iselco']","['the', 'bill', 'is', 'growing', 'again', 'with', 'what', 'you', 'are', 'doing', 'like', 'this', 'iselco']",the bill is growing again with what you are doing like this iselco,bill growing like iselco,bill grow like iselco,bill grow like iselco,Negative,1,0.3612
02-Aug-24,consumer would happy high charge electricity,"['Which', 'consumer', 'would', 'be', 'happy', 'for', 'you', '?', 'how', 'high', 'are', 'you', 'to', 'charge', 'electricity', '!']","['which', 'consumer', 'would', 'be', 'happy', 'for', 'you', '?', 'how', 'high', 'are', 'you', 'to', 'charge', 'electricity', '!']",which consumer would be happy for you  how high are you to charge electricity ,consumer would happy high charge electricity,consumer would happy high charge electricity,consumer would happy high charge electricity,Negative,1,0.5719
02-Aug-24,iselco day since service turn,"['Iselco', ',', 'it', 'has', 'been', 'a', 'few', 'days', 'since', 'your', 'service', 'was', 'turned', 'off']","['iselco', ',', 'it', 'has', 'been', 'a', 'few', 'days', 'since', 'your', 'service', 'was', 'turned', 'off']",iselco  it has been a few days since your service was turned off,iselco days since service turned,iselco day since service turn,iselco day since service turn,Neutral,2,0
02-Aug-24,feeder two line four always tripped not fix well,"['Why', 'is', 'feeder', 'two', 'and', 'line', 'four', 'always', 'tripped', '?', 'you', 'do', 'not', 'fix', 'it', 'well']","['why', 'is', 'feeder', 'two', 'and', 'line', 'four', 'always', 'tripped', '?', 'you', 'do', 'not', 'fix', 'it', 'well']",why is feeder two and line four always tripped  you do not fix it well,feeder two line four always tripped not fix well,feeder two line four always tripped not fix well,feeder two line four always tripped not fix well,Negative,1,-0.2057
02-Aug-24,raffy tulfo action please take action rotten service give make much pig consumer,"['Raffy', 'Tulfo', 'in', 'Action', 'please', 'take', 'action', 'on', 'this', 'rotten', 'service', 'they', 'gave', '.', 'They', 'are', 'making', 'this', 'too', 'much', 'of', 'a', 'pig', 'for', 'consumers', '!']","['raffy', 'tulfo', 'in', 'action', 'please', 'take', 'action', 'on', 'this', 'rotten', 'service', 'they', 'gave', '.', 'they', 'are', 'making', 'this', 'too', 'much', 'of', 'a', 'pig', 'for', 'consumers', '!']",raffy tulfo in action please take action on this rotten service they gave  they are making this too much of a pig for consumers ,raffy tulfo action please take action rotten service gave making much pig consumers,raffy tulfo action please take action rotten service give make much pig consumer,raffy tulfo action please take action rotten service give make much pig consumer,Negative,1,-0.25
02-Aug-24,always tripped fooling consumer,"['you', 'are', 'all', 'always', 'TRIPPED', ',', 'you', 'are', 'fooling', 'consumers']","['you', 'are', 'all', 'always', 'tripped', ',', 'you', 'are', 'fooling', 'consumers']",you are all always tripped  you are fooling consumers,always tripped fooling consumers,always tripped fooling consumer,always tripped fooling consumer,Negative,1,-0.4019
02-Aug-24,service not improve nothing change,"['Your', 'service', 'has', 'not', 'improved', ',', 'nothing', 'changed']","['your', 'service', 'has', 'not', 'improved', ',', 'nothing', 'changed']",your service has not improved  nothing changed,service not improved nothing changed,service not improve nothing change,service not improve nothing change,Negative,1,-0.3412
02-Aug-24,not upgrade service,"['Why', 'do', 'not', 'you', 'upgrade', 'your', 'services']","['why', 'do', 'not', 'you', 'upgrade', 'your', 'services']",why do not you upgrade your services,not upgrade services,not upgrade service,not upgrade service,Neutral,2,0
02-Aug-24,always brown caliguian,"['always', 'brown', 'out', 'here', 'in', 'Caliguian']","['always', 'brown', 'out', 'here', 'in', 'caliguian']",always brown out here in caliguian,always brown caliguian,always brown caliguian,always brownout caliguian,Negative,1,0
02-Aug-24,always rain power interruption,"['Always', ',', 'no', 'rain', 'power', 'interruption', 'again']","['always', ',', 'no', 'rain', 'power', 'interruption', 'again']",always  no rain power interruption again,always rain power interruption,always rain power interruption,always rain power interruption,Negative,1,-0.3612
02-Aug-24,power interruption always unscheduled nothing new,"['The', 'power', 'interruption', 'is', 'always', 'unscheduled', 'nothing', 'new']","['the', 'power', 'interruption', 'is', 'always', 'unscheduled', 'nothing', 'new']",the power interruption is always unscheduled nothing new,power interruption always unscheduled nothing new,power interruption always unscheduled nothing new,power interruption always unscheduled nothing new,Negative,1,-0.3612
02-Aug-24,always brown people pay late cut,"['Always', 'brown', 'out', 'when', 'people', 'pay', 'late', 'you', 'cut', '.', 'how', 'about', 'that']","['always', 'brown', 'out', 'when', 'people', 'pay', 'late', 'you', 'cut', '.', 'how', 'about', 'that']",always brown out when people pay late you cut  how about that,always brown people pay late cut,always brown people pay late cut,always brownout people pay late cut,Negative,1,-0.3612
02-Aug-24,paid useless,"['What', 'is', 'paid', 'will', 'be', 'useless']","['what', 'is', 'paid', 'will', 'be', 'useless']",what is paid will be useless,paid useless,paid useless,paid useless,Negative,1,-0.4215
02-Aug-24,organization really worthless,"['This', 'organization', 'is', 'really', 'worthless']","['this', 'organization', 'is', 'really', 'worthless']",this organization is really worthless,organization really worthless,organization really worthless,organization really worthless,Negative,1,-0.4927
02-Aug-24,poor consumer service like charge always high pay time,"['We', 'are', 'your', 'poor', 'consumers', 'because', 'your', 'service', 'is', 'like', 'that', '.', 'Your', 'charges', 'are', 'always', 'high', ',', 'we', 'pay', 'on', 'time']","['we', 'are', 'your', 'poor', 'consumers', 'because', 'your', 'service', 'is', 'like', 'that', '.', 'your', 'charges', 'are', 'always', 'high', ',', 'we', 'pay', 'on', 'time']",we are your poor consumers because your service is like that  your charges are always high  we pay on time,poor consumers service like charges always high pay time,poor consumer service like charge always high pay time,poor consumer service like charge always high pay time,Negative,1,-0.25
02-Aug-24,line replace old little rain malfunction,"['That', 'line', 'should', 'be', 'replaced', '.', 'It', 'is', 'old', 'so', 'it', 'is', 'just', 'a', 'little', 'rain', ',', 'it', 'is', 'malfunctioning']","['that', 'line', 'should', 'be', 'replaced', '.', 'it', 'is', 'old', 'so', 'it', 'is', 'just', 'a', 'little', 'rain', ',', 'it', 'is', 'malfunctioning']",that line should be replaced  it is old so it is just a little rain  it is malfunctioning,line replaced old little rain malfunctioning,line replace old little rain malfunction,line replace old little rain malfunction,Negative,1,0
02-Aug-24,ruin battery health iselco honest,"['You', 'are', 'ruining', 'Battery', 'Health', 'Iselco', 'to', 'be', 'honest']","['you', 'are', 'ruining', 'battery', 'health', 'iselco', 'to', 'be', 'honest']",you are ruining battery health iselco to be honest,ruining battery health iselco honest,ruin battery health iselco honest,ruin battery health iselco honest,Negative,1,-0.128
02-Aug-24,line tripped fix night trippings strong,"['Line', 'tripped', 'again', '.', 'Will', 'you', 'fix', 'it', 'at', 'night', '?', 'Your', 'trippings', 'are', 'strong']","['line', 'tripped', 'again', '.', 'will', 'you', 'fix', 'it', 'at', 'night', '?', 'your', 'trippings', 'are', 'strong']",line tripped again  will you fix it at night  your trippings are strong,line tripped fix night trippings strong,line tripped fix night trippings strong,line tripped fix night trippings strong,Negative,1,0.5106
02-Aug-24,charge decrease expect quality service decrease even,"['Because', 'their', 'charges', 'have', 'decreased', ',', 'you', 'can', 'expect', 'the', 'quality', 'of', 'service', 'to', 'decrease', 'even', 'more']","['because', 'their', 'charges', 'have', 'decreased', ',', 'you', 'can', 'expect', 'the', 'quality', 'of', 'service', 'to', 'decrease', 'even', 'more']",because their charges have decreased  you can expect the quality of service to decrease even more,charges decreased expect quality service decrease even,charge decrease expect quality service decrease even,charge decrease expect quality service decrease even,Negative,1,0
02-Aug-24,let u upgrade share lot new iselco new philippine,"['Let', 'us', 'upgrade', 'too', '.', 'We', 'share', 'a', 'lot', ',', 'as', 'if', 'there', 'is', 'a', 'New', 'ISELCO', 'in', 'the', 'New', 'Philippines', '.']","['let', 'us', 'upgrade', 'too', '.', 'we', 'share', 'a', 'lot', ',', 'as', 'if', 'there', 'is', 'a', 'new', 'iselco', 'in', 'the', 'new', 'philippines', '.']",let us upgrade too  we share a lot  as if there is a new iselco in the new philippines ,let us upgrade share lot new iselco new philippines,let u upgrade share lot new iselco new philippine,let u upgrade share lot new iselco new philippine,Positive,0,0.296
02-Aug-24,feeder line tripped always little rain brownout,"['Feeder', 'line', 'tripped', 'always', ',', 'little', 'rain', 'and', 'brownout', 'again']","['feeder', 'line', 'tripped', 'always', ',', 'little', 'rain', 'and', 'brownout', 'again']",feeder line tripped always  little rain and brownout again,feeder line tripped always little rain brownout,feeder line tripped always little rain brownout,feeder line tripped always little rain brownout,Negative,1,0
02-Aug-24,please improve quality service,"['PLEASE', 'IMPROVE', 'YOUR', 'QUALITY', 'OF', 'SERVICE', '!', '!']","['please', 'improve', 'your', 'quality', 'of', 'service', '!', '!']",please improve your quality of service  ,please improve quality service,please improve quality service,please improve quality service,Negative,1,0.6369
02-Aug-24,lot income improvement,"['A', 'lot', 'of', 'income', ',', 'there', 'is', 'no', 'improvement', '.']","['a', 'lot', 'of', 'income', ',', 'there', 'is', 'no', 'improvement', '.']",a lot of income  there is no improvement ,lot income improvement,lot income improvement,lot income improvement,Negative,1,0.4588
02-Aug-24,one kind service,"['you', 'are', 'the', 'only', 'one', 'with', 'that', 'kind', 'of', 'service', '!']","['you', 'are', 'the', 'only', 'one', 'with', 'that', 'kind', 'of', 'service', '!']",you are the only one with that kind of service ,one kind service,one kind service,one kind service,Negative,1,0.5267
02-Aug-24,prepared last summer line tripped,"['It', 'should', 'have', 'been', 'prepared', 'last', 'summer', 'so', 'there', 'is', 'no', 'line', 'Tripped', '!']","['it', 'should', 'have', 'been', 'prepared', 'last', 'summer', 'so', 'there', 'is', 'no', 'line', 'tripped', '!']",it should have been prepared last summer so there is no line tripped ,prepared last summer line tripped,prepared last summer line tripped,prepared last summer line tripped,Negative,1,0.2263
02-Aug-24,confuse brownout,"['We', 'are', 'confused', 'about', 'your', 'brownout']","['we', 'are', 'confused', 'about', 'your', 'brownout']",we are confused about your brownout,confused brownout,confuse brownout,confuse brownout,Negative,1,-0.2263
02-Aug-24,hard defend iselco,"['It', ""'s"", 'hard', 'to', 'defend', 'you', 'Iselco']","['it', ""'s"", 'hard', 'to', 'defend', 'you', 'iselco']",it s hard to defend you iselco,hard defend iselco,hard defend iselco,hard defend iselco,Negative,1,-0.1027
02-Aug-24,conversation pay tend brownout,"['The', 'conversation', 'is', 'about', 'paying', 'but', 'you', 'tend', 'to', 'brownout']","['the', 'conversation', 'is', 'about', 'paying', 'but', 'you', 'tend', 'to', 'brownout']",the conversation is about paying but you tend to brownout,conversation paying tend brownout,conversation pay tend brownout,conversation pay tend brownout,Negative,1,-0.1027
02-Aug-24,concerned bill u consumer electricity electricity get big,"['You', 'are', 'concerned', 'about', 'the', 'bill', ',', 'what', 'about', 'us', 'consumers', '.', 'The', 'electricity', 'is', 'off', 'and', 'the', 'electricity', 'is', 'getting', 'bigger']","['you', 'are', 'concerned', 'about', 'the', 'bill', ',', 'what', 'about', 'us', 'consumers', '.', 'the', 'electricity', 'is', 'off', 'and', 'the', 'electricity', 'is', 'getting', 'bigger']",you are concerned about the bill  what about us consumers  the electricity is off and the electricity is getting bigger,concerned bill us consumers electricity electricity getting bigger,concerned bill u consumer electricity electricity get big,concerned bill u consumer electricity electricity get big,Negative,1,0
02-Aug-24,equipment damage due low quality service hope fix member consumer not complain every day,"['The', 'equipment', 'is', 'damaged', 'due', 'to', 'your', 'low', 'quality', 'service', '.', 'I', 'hope', 'you', 'fix', 'it', 'so', 'that', 'your', 'member', 'consumer', 'does', 'not', 'complain', 'every', 'day', '.']","['the', 'equipment', 'is', 'damaged', 'due', 'to', 'your', 'low', 'quality', 'service', '.', 'i', 'hope', 'you', 'fix', 'it', 'so', 'that', 'your', 'member', 'consumer', 'does', 'not', 'complain', 'every', 'day', '.']",the equipment is damaged due to your low quality service  i hope you fix it so that your member consumer does not complain every day ,equipment damaged due low quality service hope fix member consumer not complain every day,equipment damage due low quality service hope fix member consumer not complain every day,equipment damage due low quality service hope fix member consumer not complain every day,Negative,1,-0.0747
02-Aug-24,careful maintenance,"['Be', 'careful', 'with', 'maintenance', '.']","['be', 'careful', 'with', 'maintenance', '.']",be careful with maintenance ,careful maintenance,careful maintenance,careful maintenance,Positive,0,0.1531
02-Aug-24,iselco enemy member consumer,"['Iselco', 'is', 'the', 'enemy', 'of', 'member', 'consumers']","['iselco', 'is', 'the', 'enemy', 'of', 'member', 'consumers']",iselco is the enemy of member consumers,iselco enemy member consumers,iselco enemy member consumer,iselco enemy member consumer,Negative,1,-0.5423
02-Aug-24,iselco enemy isabela,"['Iselco', 'is', 'the', 'enemy', 'of', 'Isabela']","['iselco', 'is', 'the', 'enemy', 'of', 'isabela']",iselco is the enemy of isabela,iselco enemy isabela,iselco enemy isabela,iselco enemy isabela,Negative,1,-0.5423
02-Aug-24,iselco part load shed trouble shoot fix service tell u truth,"['ISELCO', 'Is', 'this', 'part', 'of', 'Load', 'Shedding', 'or', 'just', 'trouble', 'shooting', '?', 'to', 'fix', 'your', 'service', ',', 'Tell', 'us', 'the', 'truth', '!']","['iselco', 'is', 'this', 'part', 'of', 'load', 'shedding', 'or', 'just', 'trouble', 'shooting', '?', 'to', 'fix', 'your', 'service', ',', 'tell', 'us', 'the', 'truth', '!']",iselco is this part of load shedding or just trouble shooting  to fix your service  tell us the truth ,iselco part load shedding trouble shooting fix service tell us truth,iselco part load shed trouble shoot fix service tell u truth,iselco part load shed trouble shoot fix service tell u truth,Negative,1,-0.4215
03-Aug-24,always brownout burgos iselco annoy,"['It', 'is', 'always', 'brownout', 'here', 'in', 'Burgos', ',', 'Iselco', 'is', 'annoying']","['it', 'is', 'always', 'brownout', 'here', 'in', 'burgos', ',', 'iselco', 'is', 'annoying']",it is always brownout here in burgos  iselco is annoying,always brownout burgos iselco annoying,always brownout burgos iselco annoy,always brownout burgos iselco annoy,Negative,1,-0.4404
04-Aug-24,hand still shake iselco annoy,"['the', 'hands', 'are', 'still', 'shaking', '.', 'iselco', 'is', 'annoying']","['the', 'hands', 'are', 'still', 'shaking', '.', 'iselco', 'is', 'annoying']",the hands are still shaking  iselco is annoying,hands still shaking iselco annoying,hand still shake iselco annoy,hand still shake iselco annoy,Negative,1,-0.1027
04-Aug-24,always spare problem like line trip fix immediately,"['They', 'should', 'always', 'have', 'a', 'spare', '.', 'For', 'when', 'there', 'is', 'a', 'problem', 'like', 'line', 'tripping', ',', 'they', 'can', 'fix', 'it', 'immediately', '.']","['they', 'should', 'always', 'have', 'a', 'spare', '.', 'for', 'when', 'there', 'is', 'a', 'problem', 'like', 'line', 'tripping', ',', 'they', 'can', 'fix', 'it', 'immediately', '.']",they should always have a spare  for when there is a problem like line tripping  they can fix it immediately ,always spare problem like line tripping fix immediately,always spare problem like line trip fix immediately,always spare problem like line trip fix immediately,Neutral,2,-0.0516
04-Aug-24,iselco really insult,"['Iselco', 'you', 'are', 'really', 'insulting', '!']","['iselco', 'you', 'are', 'really', 'insulting', '!']",iselco you are really insulting ,iselco really insulting,iselco really insult,iselco really insult,Negative,1,-0.5563
04-Aug-24,thank consistent support make difference community,"['Thank', 'you', 'for', 'your', 'consistent', 'support', ';', 'it', 'makes', 'a', 'difference', 'in', 'our', 'community', '.']","['thank', 'you', 'for', 'your', 'consistent', 'support', ';', 'it', 'makes', 'a', 'difference', 'in', 'our', 'community', '.']",thank you for your consistent support  it makes a difference in our community ,thank consistent support makes difference community,thank consistent support make difference community,thank consistent support make difference community,Positive,0,0.6369
04-Aug-24,thanks update iselco,"['Thanks', 'for', 'update', 'ISELCO']","['thanks', 'for', 'update', 'iselco']",thanks for update iselco,thanks update iselco,thanks update iselco,thanks update iselco,Positive,0,0.4404
04-Aug-24,one announce brownout,"['The', 'one', 'they', 'announced', 'but', 'it', 'is', 'brownout']","['the', 'one', 'they', 'announced', 'but', 'it', 'is', 'brownout']",the one they announced but it is brownout,one announced brownout,one announce brownout,one announce brownout,Neutral,2,0
04-Aug-24,hey electricity bill big always brown hot iselco,"['Hey', ',', 'your', 'electricity', 'bill', 'is', 'big', ',', 'it', 'is', 'always', 'brown', 'out', '.', 'It', 'is', 'so', 'hot', ',', 'Iselco']","['hey', ',', 'your', 'electricity', 'bill', 'is', 'big', ',', 'it', 'is', 'always', 'brown', 'out', '.', 'it', 'is', 'so', 'hot', ',', 'iselco']",hey  your electricity bill is big  it is always brown out  it is so hot  iselco,hey electricity bill big always brown hot iselco,hey electricity bill big always brown hot iselco,hey electricity bill big always brownout hot iselco,Negative,1,0
04-Aug-24,post last night not like post power interruption,"['You', 'should', 'have', 'posted', 'last', 'night', ',', 'not', 'like', 'that', ',', 'just', 'now', 'post', 'a', 'power', 'interruption']","['you', 'should', 'have', 'posted', 'last', 'night', ',', 'not', 'like', 'that', ',', 'just', 'now', 'post', 'a', 'power', 'interruption']",you should have posted last night  not like that  just now post a power interruption,posted last night not like post power interruption,post last night not like post power interruption,post last night not like post power interruption,Neutral,2,-0.5588
04-Aug-24,terrible iselco love charge electricity always,"['You', 'are', 'terrible', 'Iselco', ',', 'you', 'love', 'to', 'charge', ',', 'the', 'electricity', 'is', 'always', 'off']","['you', 'are', 'terrible', 'iselco', ',', 'you', 'love', 'to', 'charge', ',', 'the', 'electricity', 'is', 'always', 'off']",you are terrible iselco  you love to charge  the electricity is always off,terrible iselco love charge electricity always,terrible iselco love charge electricity always,terrible iselco love charge electricity always,Negative,1,0.2732
05-Aug-24,not friday yet brownout quality service really reliable good job,"['It', 'is', 'not', 'Friday', 'yet', ',', 'but', 'this', 'is', 'a', 'brownout', ',', 'the', 'quality', 'service', 'is', 'really', 'very', 'reliable', ',', 'good', 'job', '!']","['it', 'is', 'not', 'friday', 'yet', ',', 'but', 'this', 'is', 'a', 'brownout', ',', 'the', 'quality', 'service', 'is', 'really', 'very', 'reliable', ',', 'good', 'job', '!']",it is not friday yet  but this is a brownout  the quality service is really very reliable  good job ,not friday yet brownout quality service really reliable good job,not friday yet brownout quality service really reliable good job,not friday yet brownout quality service really reliable good job,Positive,0,0.4902
06-Aug-24,thank quick repair electricity,"['Thank', 'you', 'for', 'the', 'quick', 'repair', 'of', 'electricity']","['thank', 'you', 'for', 'the', 'quick', 'repair', 'of', 'electricity']",thank you for the quick repair of electricity,thank quick repair electricity,thank quick repair electricity,thank quick repair electricity,Positive,0,0.3612
07-Aug-24,life get harder harder,"['Life', 'is', 'getting', 'harder', 'and', 'harder']","['life', 'is', 'getting', 'harder', 'and', 'harder']",life is getting harder and harder,life getting harder harder,life get harder harder,life get harder harder,Negative,1,0
08-Aug-24,still low voltage poor client not know test poor appliance,"['You', 'are', 'still', 'low', 'voltage', ',', 'poor', 'clients', 'who', 'do', 'not', 'know', 'how', 'to', 'test', ',', 'poor', 'appliances']","['you', 'are', 'still', 'low', 'voltage', ',', 'poor', 'clients', 'who', 'do', 'not', 'know', 'how', 'to', 'test', ',', 'poor', 'appliances']",you are still low voltage  poor clients who do not know how to test  poor appliances,still low voltage poor clients not know test poor appliances,still low voltage poor client not know test poor appliance,still low voltage poor client not know test poor appliance,Negative,1,-0.3911
08-Aug-24,yellow red alert ngcp substation manual load drop,"['No', 'yellow', 'or', 'red', 'alert', 'from', 'ngcp', '.', 'The', 'only', 'substation', 'that', 'does', 'manual', 'load', 'dropping', '.']","['no', 'yellow', 'or', 'red', 'alert', 'from', 'ngcp', '.', 'the', 'only', 'substation', 'that', 'does', 'manual', 'load', 'dropping', '.']",no yellow or red alert from ngcp  the only substation that does manual load dropping ,yellow red alert ngcp substation manual load dropping,yellow red alert ngcp substation manual load drop,yellow red alert ngcp substation manual load drop,Neutral,2,0.0258
08-Aug-24,output outlet low low voltage difficult cool air conditioner destroy thing,"['The', 'output', 'of', 'our', 'outlet', 'is', 'low', '.', 'You', 'are', 'LOW', 'Voltage', 'again', ',', 'so', 'it', 'is', 'very', 'difficult', 'to', 'cool', 'our', 'air', 'conditioner', ',', 'you', 'will', 'just', 'destroy', 'our', 'things']","['the', 'output', 'of', 'our', 'outlet', 'is', 'low', '.', 'you', 'are', 'low', 'voltage', 'again', ',', 'so', 'it', 'is', 'very', 'difficult', 'to', 'cool', 'our', 'air', 'conditioner', ',', 'you', 'will', 'just', 'destroy', 'our', 'things']",the output of our outlet is low  you are low voltage again  so it is very difficult to cool our air conditioner  you will just destroy our things,output outlet low low voltage difficult cool air conditioner destroy things,output outlet low low voltage difficult cool air conditioner destroy thing,output outlet low low voltage difficult cool air conditioner destroy thing,Negative,1,-0.7845
08-Aug-24,national grid corporation philippine please investigate,"['National', 'Grid', 'Corporation', 'of', 'the', 'Philippines', '?', 'please', 'investigate', '.']","['national', 'grid', 'corporation', 'of', 'the', 'philippines', '?', 'please', 'investigate', '.']",national grid corporation of the philippines  please investigate ,national grid corporation philippines please investigate,national grid corporation philippine please investigate,national grid corporation philippine please investigate,Neutral,2,0.3182
09-Aug-24,think browning night do afternoon still night,"['Why', 'did', 'you', 'think', 'of', 'browning', 'out', 'at', 'night', ',', 'it', 'can', 'be', 'done', 'all', 'afternoon', ',', 'why', 'is', 'it', 'still', 'night', '?']","['why', 'did', 'you', 'think', 'of', 'browning', 'out', 'at', 'night', ',', 'it', 'can', 'be', 'done', 'all', 'afternoon', ',', 'why', 'is', 'it', 'still', 'night', '?']",why did you think of browning out at night  it can be done all afternoon  why is it still night ,think browning night done afternoon still night,think browning night do afternoon still night,think brownout night do afternoon still night,Neutral,2,0
09-Aug-24,viable electrecity since marcos senior,"['Viable', 'electrecity', 'since', 'Marcos', 'senior']","['viable', 'electrecity', 'since', 'marcos', 'senior']",viable electrecity since marcos senior,viable electrecity since marcos senior,viable electrecity since marcos senior,viable electrecity since marcos senior,Positive,0,0
09-Aug-24,electricity turn minante ago,"['Electricity', 'was', 'turned', 'off', 'here', 'in', 'Minante', 'a', 'while', 'ago']","['electricity', 'was', 'turned', 'off', 'here', 'in', 'minante', 'a', 'while', 'ago']",electricity was turned off here in minante a while ago,electricity turned minante ago,electricity turn minante ago,electricity turn minante ago,Neutral,2,0
09-Aug-24,gosh brown always mistake even early morning,"['Gosh', ',', 'brown', 'out', 'again', ',', 'you', 'always', 'have', 'no', 'mistakes', ',', 'even', 'in', 'the', 'early', 'morning']","['gosh', ',', 'brown', 'out', 'again', ',', 'you', 'always', 'have', 'no', 'mistakes', ',', 'even', 'in', 'the', 'early', 'morning']",gosh  brown out again  you always have no mistakes  even in the early morning,gosh brown always mistakes even early morning,gosh brown always mistake even early morning,gosh brownout always mistake even early morning,Negative,1,-0.34
09-Aug-24,power every morning,"['Is', 'there', 'no', 'power', 'every', 'morning', '?']","['is', 'there', 'no', 'power', 'every', 'morning', '?']",is there no power every morning ,power every morning,power every morning,power every morning,Negative,1,0
09-Aug-24,unorganized order,"['Unorganized', 'order']","['unorganized', 'order']",unorganized order,unorganized order,unorganized order,unorganized order,Negative,1,0
09-Aug-24,think sacrifice line men fix power line not know hard work let u patient brother,"['Think', 'about', 'the', 'sacrifice', 'of', 'the', 'line', 'men', ',', 'just', 'to', 'fix', 'our', 'power', 'line', ',', 'you', 'do', 'not', 'know', 'how', 'hard', 'their', 'work', 'is', 'so', 'let', 'us', 'be', 'patient', 'brothers']","['think', 'about', 'the', 'sacrifice', 'of', 'the', 'line', 'men', ',', 'just', 'to', 'fix', 'our', 'power', 'line', ',', 'you', 'do', 'not', 'know', 'how', 'hard', 'their', 'work', 'is', 'so', 'let', 'us', 'be', 'patient', 'brothers']",think about the sacrifice of the line men  just to fix our power line  you do not know how hard their work is so let us be patient brothers,think sacrifice line men fix power line not know hard work let us patient brothers,think sacrifice line men fix power line not know hard work let u patient brother,think sacrifice line men fix power line not know hard work let u patient brother,Positive,0,0.0762
09-Aug-24,brownout problem long time,"['brownout', 'has', 'been', 'a', 'problem', 'for', 'a', 'long', 'time', '.']","['brownout', 'has', 'been', 'a', 'problem', 'for', 'a', 'long', 'time', '.']",brownout has been a problem for a long time ,brownout problem long time,brownout problem long time,brownout problem long time,Negative,1,-0.4019
09-Aug-24,let u not complain brownout not even know damage,"['Let', 'us', 'not', 'complain', 'if', 'it', 'brownout', '.', 'because', 'they', 'do', 'not', 'even', 'know', 'where', 'the', 'damage', 'is']","['let', 'us', 'not', 'complain', 'if', 'it', 'brownout', '.', 'because', 'they', 'do', 'not', 'even', 'know', 'where', 'the', 'damage', 'is']",let us not complain if it brownout  because they do not even know where the damage is,let us not complain brownout not even know damage,let u not complain brownout not even know damage,let us not complain brownout not even know damage,Neutral,2,0.5773
10-Aug-24,hope also explain cause electric shock iselco,"['I', 'hope', 'you', 'will', 'also', 'explain', 'the', 'cause', 'of', 'the', 'electric', 'shock', 'of', 'Iselco']","['i', 'hope', 'you', 'will', 'also', 'explain', 'the', 'cause', 'of', 'the', 'electric', 'shock', 'of', 'iselco']",i hope you will also explain the cause of the electric shock of iselco,hope also explain cause electric shock iselco,hope also explain cause electric shock iselco,hope also explain cause electric shock iselco,Neutral,2,0.0772
11-Aug-24,thank u much iselco,"['Thank', 'u', 'so', 'much', 'iselco']","['thank', 'u', 'so', 'much', 'iselco']",thank u so much iselco,thank u much iselco,thank u much iselco,thank u much iselco,Positive,0,0.3612
11/08/2024,thank much really appreciate iselco,"['Thank', 'you', 'so', 'much', 'I', 'really', 'appreciate', 'it', 'ISELCO']","['thank', 'you', 'so', 'much', 'i', 'really', 'appreciate', 'it', 'iselco']",thank you so much i really appreciate it iselco,thank much really appreciate iselco,thank much really appreciate iselco,thank much really appreciate iselco,Positive,0,0.6697
12-Aug-24,people iselco please check record carefully come disconnection notice fail pay,"['People', 'from', 'Iselco', ',', 'please', 'check', 'your', 'record', 'carefully', '.', 'How', 'come', 'we', 'have', 'a', 'disconnection', 'notice', 'when', 'we', 'failed', 'to', 'pay', '.']","['people', 'from', 'iselco', ',', 'please', 'check', 'your', 'record', 'carefully', '.', 'how', 'come', 'we', 'have', 'a', 'disconnection', 'notice', 'when', 'we', 'failed', 'to', 'pay', '.']",people from iselco  please check your record carefully  how come we have a disconnection notice when we failed to pay ,people iselco please check record carefully come disconnection notice failed pay,people iselco please check record carefully come disconnection notice fail pay,people iselco please check record carefully come disconnection notice fail pay,Negative,1,-0.2732
12-Aug-24,please fix service,"['Please', 'fix', 'your', 'service']","['please', 'fix', 'your', 'service']",please fix your service,please fix service,please fix service,please fix service,Negative,1,0.3182
12-Aug-24,staff iselco always willing go extra mile,"['The', 'staff', 'at', 'ISELCO', 'are', 'always', 'willing', 'to', 'go', 'the', 'extra', 'mile', '.']","['the', 'staff', 'at', 'iselco', 'are', 'always', 'willing', 'to', 'go', 'the', 'extra', 'mile', '.']",the staff at iselco are always willing to go the extra mile ,staff iselco always willing go extra mile,staff iselco always willing go extra mile,staff iselco always willing go extra mile,Positive,0,0
12-Aug-24,service quality decrease significantly past month,"['The', 'service', 'quality', 'has', 'decreased', 'significantly', 'over', 'the', 'past', 'few', 'months', '.']","['the', 'service', 'quality', 'has', 'decreased', 'significantly', 'over', 'the', 'past', 'few', 'months', '.']",the service quality has decreased significantly over the past few months ,service quality decreased significantly past months,service quality decrease significantly past month,service quality decrease significantly past month,Negative,1,0
12-Aug-24,lack transparency billing process concern confuse,"['The', 'lack', 'of', 'transparency', 'in', 'the', 'billing', 'process', 'is', 'concerning', 'and', 'confusing', '.']","['the', 'lack', 'of', 'transparency', 'in', 'the', 'billing', 'process', 'is', 'concerning', 'and', 'confusing', '.']",the lack of transparency in the billing process is concerning and confusing ,lack transparency billing process concerning confusing,lack transparency billing process concern confuse,lack transparency billing process concern confuse,Negative,1,-0.4939
